"Disease","Precaution 1","Precaution 2","Precaution 3","Precaution 4"
"Drug Reaction","Stop the drug","Manage irritation (cool compress)","Consult nearest hospital","Follow up with prescriber"
"Malaria","Consult nearest hospital","Use antimalarial medication as prescribed","Avoid oily/non-veg foods if advised","Use mosquito nets/repellent"
"Allergy","Apply calamine for rash","Cover area with bandage if oozing","Use ice to compress itching","Avoid known trigger"
"Hypothyroidism","Take prescribed thyroid hormone","Reduce stress","Regular exercise","Get proper sleep"
"Psoriasis","Wash with warm soapy water","Stop bleeding using pressure","Consult dermatologist","Salt/warm baths to soothe"
"GERD","Avoid fatty/spicy food","Avoid lying down after eating","Maintain healthy weight","Small frequent meals"
"Chronic cholestasis","Cold baths to soothe itch","Take anti-itch medication as advised","Consult hepatology","Eat balanced diet"
"Hepatitis A","Consult nearest hospital if severe","Strict hand hygiene","Avoid fatty/spicy foods","Supportive medication/rest"
"Osteoarthritis","Use acetaminophen as advised","Consult orthopedist","Exercise within limits","Salt baths/soaks"
"(Vertigo) Benign Paroxysmal Positional Vertigo","Lie down during episodes","Avoid sudden body/head movements","Perform Epley maneuver if instructed","Relax and hydrate"
"Hypoglycemia","Lie down on side if faint","Check pulse/BS regularly","Drink sugary drinks/juice","Consult doctor for recurrent events"
"Acne","Wash twice daily with gentle cleanser","Avoid greasy/spicy foods if triggers","Drink plenty of water","Avoid overuse of products"
"Diabetes","Maintain balanced diet","Regular exercise","Consult endocrinologist","Regular follow-up and glucose monitoring"
"Impetigo","Soak affected area warm water","Use prescribed antibiotics","Remove scabs gently with wet cloth","Consult doctor"
"Hypertension","Practice meditation/relaxation","Limit salt intake","Reduce stress","Ensure adequate sleep"
"Peptic ulcer disease","Avoid fatty/spicy foods","Consume probiotics if tolerated","Avoid unnecessary milk (per doctor)","Limit alcohol and NSAIDs"
"Hemorrhoids (piles)","Avoid fatty/spicy foods","Use witch hazel/topical","Warm baths with Epsom salt","Consume aloe vera/ fiber"
"Common Cold","Drink vitamin C-rich fluids","Use vapour/inhalation","Avoid cold foods if uncomfortable","Monitor fever and hydrate"
"Chickenpox","Use neem/soothing baths if traditional practice","Avoid scratching; keep nails short","Isolate to avoid spread","Seek vaccination for prevention"
"Cervical spondylosis","Use heating pad or cold pack","Neck exercises and physiotherapy","Use OTC pain relievers when advised","Consult doctor if neurological signs"
"Hyperthyroidism","Follow endocrine treatment plan","Eat balanced nutritious food","Consider relaxation/massage","Discuss radioactive iodine or other treatments with doctor"
"Urinary tract infection","Drink plenty of water","Increase vitamin C intake","Cranberry juice or supplements","Consult doctor for antibiotics"
"Varicose veins","Lie down and raise legs","Use topical ointments/vein creams","Use compression stockings","Avoid prolonged standing"
